City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,vardo,20,NO,few clouds,87,70.37,31.11,44.6,0.0,0.0,2.24
1,avarua,98,CK,overcast clouds,64,-21.21,-159.78,75.2,0.0,0.0,9.17
2,hermanus,62,ZA,broken clouds,91,-34.42,19.23,55.0,0.0,0.0,5.75
3,saint-philippe,43,RE,scattered clouds,82,-21.36,55.77,66.2,0.0,0.0,4.7
4,yellowknife,20,CA,few clouds,38,62.46,-114.35,79.0,0.0,0.0,19.46
5,busselton,23,AU,few clouds,53,-33.65,115.33,57.0,0.0,0.0,21.18
6,katobu,48,ID,scattered clouds,91,-4.94,122.53,74.1,0.0,0.0,6.51
7,cherskiy,16,RU,few clouds,23,68.75,161.3,84.15,0.0,0.0,16.96
8,qaanaaq,27,GL,scattered clouds,72,77.48,-69.36,39.47,0.0,0.0,3.69
9,jalu,0,LY,clear sky,55,29.03,21.55,74.1,0.0,0.0,13.33
10,mahebourg,75,MU,shower rain,77,-20.41,57.7,69.8,0.0,0.0,11.41
11,iqaluit,75,CA,shower rain,75,63.75,-68.51,41.0,0.0,0.0,4.7
12,butaritari,52,KI,broken clouds,79,3.07,172.79,83.64,0.0,0.0,14.61
13,hobart,75,AU,light intensity shower rain,93,-42.88,147.33,54.0,0.76,0.76,6.93
14,rikitea,81,PF,broken clouds,67,-23.12,-134.97,70.41,0.0,0.0,17.52
15,dikson,61,RU,broken clouds,75,73.51,80.55,43.77,0.0,0.0,16.11
16,port alfred,3,ZA,clear sky,89,-33.59,26.89,60.01,0.0,0.0,4.0
17,tessalit,0,ML,clear sky,9,20.2,1.01,95.99,0.0,0.0,13.53
18,hithadhoo,29,MV,scattered clouds,69,-0.6,73.08,83.44,0.0,0.0,4.63
19,shenjiamen,100,CN,moderate rain,99,29.96,122.3,72.75,3.54,3.54,9.69
20,severo-kurilsk,85,RU,overcast clouds,83,50.68,156.12,47.34,0.0,0.0,5.79
21,nanortalik,100,GL,overcast clouds,72,60.14,-45.24,44.74,0.0,0.0,11.43
22,waynesboro,1,US,clear sky,65,38.07,-78.89,82.99,0.0,0.0,6.93
23,lagoa,0,PT,clear sky,85,39.05,-27.98,66.02,0.0,0.0,18.77
24,saint-francois,90,FR,overcast clouds,68,46.42,3.91,66.2,0.0,0.0,3.36
25,new norfolk,100,AU,moderate rain,93,-42.78,147.06,54.0,1.52,1.52,3.53
26,jamestown,1,US,clear sky,39,42.1,-79.24,84.2,0.0,0.0,3.36
27,ushuaia,24,AR,few clouds,90,-54.8,-68.3,37.4,0.0,0.0,6.93
28,aranos,16,NA,few clouds,41,-24.13,19.12,52.36,0.0,0.0,9.6
29,saurimo,0,AO,clear sky,37,-9.66,20.39,58.55,0.0,0.0,4.97
30,bredasdorp,70,ZA,broken clouds,93,-34.53,20.04,57.2,0.0,0.0,3.85
31,provideniya,0,RU,clear sky,58,64.38,-173.3,57.2,0.0,0.0,8.95
32,port elizabeth,4,ZA,light rain,87,-33.92,25.57,57.2,0.12,0.12,8.05
33,jabinyanah,30,TN,scattered clouds,57,35.03,10.91,77.0,0.0,0.0,2.24
34,tasiilaq,100,GL,overcast clouds,71,65.61,-37.64,50.0,0.0,0.0,5.82
35,isangel,40,VU,scattered clouds,78,-19.55,169.27,75.2,0.0,0.0,11.16
36,vaini,75,TO,broken clouds,94,-21.2,-175.2,77.0,0.0,0.0,5.82
