City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,avarua,CK,75.2,-21.21,-159.78,Paradise Inn
4,yellowknife,CA,79.0,62.46,-114.35,The Explorer Hotel
6,katobu,ID,74.1,-4.94,122.53,La Ode Husein
7,cherskiy,RU,84.15,68.75,161.3,Gostinitsa
9,jalu,LY,74.1,29.03,21.55,Jalu Hotel
12,butaritari,KI,83.64,3.07,172.79,Isles Sunset Lodge
14,rikitea,PF,70.41,-23.12,-134.97,Pension Maro'i
17,tessalit,ML,95.99,20.2,1.01,
18,hithadhoo,MV,83.44,-0.6,73.08,Scoop Guest House
22,waynesboro,US,82.99,38.07,-78.89,Holiday Inn Express & Suites Waynesboro-Route 340
26,jamestown,US,84.2,42.1,-79.24,Hampton Inn & Suites Jamestown
33,jabinyanah,TN,77.0,35.03,10.91,maison belmabrouk
35,isangel,VU,75.2,-19.55,169.27,Volcano Sea View Tree House
36,vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort
38,manzanillo,CU,90.01,20.34,-77.12,Adrian & Tonia
39,kahului,US,82.4,20.89,-156.47,Maui Seaside Hotel
40,georgetown,MY,80.6,5.41,100.34,Cititel Penang
41,bonthe,SL,79.34,7.53,-12.51,Bonthe Holiday Village
46,bien hoa,VN,77.0,10.95,106.82,OYO 991 Duy Anh Hotel
48,presidente epitacio,BR,72.73,-21.76,-52.12,Hotel Itaverá
54,atuona,PF,80.26,-9.8,-139.03,Villa Enata
56,puerto ayora,EC,75.2,-0.74,-90.35,Finch Bay Galapagos Hotel
57,turayf,SA,78.8,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
59,nanlong,CN,74.66,31.35,106.06,Demei Hotel
67,washington,US,81.0,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
69,hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
73,cidreira,BR,71.19,-30.18,-50.21,Novomar Pousada e Turismo Ltda
78,sinnamary,GF,79.3,5.38,-52.95,ALETHEIA Appartement Sinnamary
83,los llanos de aridane,ES,73.4,28.66,-17.92,Valle Aridane
86,alofi,NU,77.0,-19.06,-169.92,Taloa Heights
96,kailua,US,84.2,21.4,-157.74,Sheffield House Bed & Breakfast
99,tabat,ID,72.37,-2.63,115.23,Perumahan PNS Senga Permai
104,brainerd,US,78.8,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
106,arraial do cabo,BR,77.0,-22.97,-42.03,Pousada Porto Praia
107,duncan,US,86.0,34.5,-97.96,Days Inn by Wyndham Duncan
109,dunmore town,BS,82.85,25.5,-76.65,Coral Sands Hotel
110,hambantota,LK,82.15,6.12,81.12,Bungalow 63
111,bambous virieux,MU,71.01,-20.34,57.76,Casa Tia Villa
115,chenzhou,CN,77.86,25.8,113.03,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
118,bathsheba,BB,84.2,13.22,-59.52,Atlantis Hotel
119,mulanur,IN,79.07,10.77,77.72,Gem engineering works
120,saveh,IR,76.44,35.02,50.36,مجید کریمی
121,guerrero negro,MX,72.59,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
123,bethel,US,86.0,41.37,-73.41,Courtyard by Marriott Danbury
