City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bafq,31.61,55.41,85.75,13,5,5.73,IR,2020-06-20 01:34:24
1,Sistranda,63.73,8.83,60.8,82,77,8.05,NO,2020-06-20 01:34:24
2,Timmins,48.47,-81.33,80.6,47,75,4.7,CA,2020-06-20 01:30:25
3,Bredasdorp,-34.53,20.04,51.8,93,34,6.15,ZA,2020-06-20 01:34:25
4,Atuona,-9.8,-139.03,80.37,75,75,13.31,PF,2020-06-20 01:34:25
5,Lebu,-37.62,-73.65,52.34,87,100,14.58,CL,2020-06-20 01:34:25
6,Tommot,58.96,126.29,73.63,39,0,3.51,RU,2020-06-20 01:34:26
7,Cidreira,-30.18,-50.21,65.66,93,89,6.22,BR,2020-06-20 01:34:26
8,Thinadhoo,0.53,72.93,83.68,72,100,8.23,MV,2020-06-20 01:34:26
9,Cayenne,4.93,-52.33,78.8,100,8,7.09,GF,2020-06-20 01:34:26
10,Nurota,40.56,65.69,62.6,27,0,4.7,UZ,2020-06-20 01:34:26
11,Rockport,28.02,-97.05,84.2,70,40,12.75,US,2020-06-20 01:34:27
12,Honiara,-9.43,159.95,87.8,74,40,6.93,SB,2020-06-20 01:33:28
13,Punta Arenas,-53.15,-70.92,35.6,93,92,14.99,CL,2020-06-20 01:30:20
14,Busselton,-33.65,115.33,52.0,64,0,11.68,AU,2020-06-20 01:34:27
15,Sola,-13.88,167.55,86.0,66,75,10.29,VU,2020-06-20 01:34:27
16,Saint-Philippe,-21.36,55.77,69.8,68,75,17.22,RE,2020-06-20 01:34:28
17,Tezu,27.92,96.17,79.56,75,96,1.05,IN,2020-06-20 01:34:28
18,Kapaa,22.08,-159.32,82.4,69,75,18.34,US,2020-06-20 01:34:28
19,Husavik,66.04,-17.34,46.4,87,90,8.05,IS,2020-06-20 01:34:28
20,Castro,-24.79,-50.01,58.21,93,23,5.53,BR,2020-06-20 01:34:29
21,Labuhan,-6.88,112.21,81.48,72,94,7.56,ID,2020-06-20 01:34:29
22,Faanui,-16.48,-151.75,80.38,74,2,1.74,PF,2020-06-20 01:34:29
23,Yellowknife,62.46,-114.35,75.2,23,20,13.87,CA,2020-06-20 01:34:29
24,Port Elizabeth,-33.92,25.57,64.4,34,0,8.05,ZA,2020-06-20 01:34:30
25,Saltpond,5.21,-1.06,76.24,87,86,7.07,GH,2020-06-20 01:34:30
26,Sinnar,13.57,33.57,82.06,57,65,13.62,SD,2020-06-20 01:34:30
27,New Norfolk,-42.78,147.06,52.0,78,89,3.15,AU,2020-06-20 01:34:30
28,Chokurdakh,70.63,147.92,90.55,18,81,12.03,RU,2020-06-20 01:34:31
29,Ushuaia,-54.8,-68.3,37.4,93,40,4.7,AR,2020-06-20 01:34:31
30,Hobart,-42.88,147.33,54.0,87,75,4.7,AU,2020-06-20 01:31:00
31,College,64.86,-147.8,59.0,87,90,5.82,US,2020-06-20 01:34:31
32,Cape Town,-33.93,18.42,61.0,87,75,4.7,ZA,2020-06-20 01:34:32
